id,created_at,text
1128045253900943361,2019-05-13 21:12:01,@angelol @ColinTCrypto @eosnewyork @bytemaster7 @brockpierce @EverythingEOSio @ChrisConeyInt @crypt0snews @go_eos V… https://t.co/Au2wdu2Ysc
1128042845539954688,2019-05-13 21:02:27,@eosnewyork @bytemaster7 @brockpierce @EverythingEOSio @ColinTCrypto @ChrisConeyInt @crypt0snews @go_eos Without co… https://t.co/fe2Ii3FN3A
1128040360242888704,2019-05-13 20:52:34,@angelol @ColinTCrypto @eosnewyork @bytemaster7 @brockpierce @EverythingEOSio @ChrisConeyInt @crypt0snews @go_eos W… https://t.co/hAeSrWEJNT
1127096793508880384,2019-05-11 06:23:10,"@novogratz @ethereumJoseph @AlethioEthstats @ChrisCCrowley Yes, love this!"
1127058781857128451,2019-05-11 03:52:07,RT @BrendanBlumer: @ethereumJoseph @AlethioEthstats @ChrisCCrowley Your friend @novogratz and his regulated public institution Galaxy Digit…
1127058491909140480,2019-05-11 03:50:58,"RT @BrendanBlumer: @scottcarat @BitsFromHeaven @ethereumJoseph @AlethioEthstats @ChrisCCrowley @novogratz Also, #EOS producers are elected…"
1127058407561748480,2019-05-11 03:50:38,"@scottcarat @BitsFromHeaven @ethereumJoseph @AlethioEthstats @ChrisCCrowley @novogratz Also, #EOS producers are ele… https://t.co/tLsR9pZLAl"
1127020132071395328,2019-05-11 01:18:33,@ethereumJoseph @AlethioEthstats @ChrisCCrowley Your friend @novogratz and his regulated public institution Galaxy… https://t.co/2Qn0SL5FeN
1126867656500363264,2019-05-10 15:12:40,@samstickkz @stellabelle @SenseToken @AusCryptoTim @moore_chaney @finchify @Rich_Downing @EverythingEOSio… https://t.co/GIUh77nMGq
1126863463353995264,2019-05-10 14:56:00,@stellabelle @SenseToken @AusCryptoTim @moore_chaney @finchify @Rich_Downing @EverythingEOSio @15_kaizer… https://t.co/mj9AAat45b
1126757719891894272,2019-05-10 07:55:49,"RT @bytemaster7: We’ve all heard the expression “trust but verify”, blockchain doesn’t eliminate trust, it enables verification."
1124877173884514304,2019-05-05 03:23:12,"With 6.7 Trillion USD in customer assets, Fidelity says, “About half of institutional investors consider digital as… https://t.co/6ufRlStBJd"
1124872891021926401,2019-05-05 03:06:11,"RT @bytemaster7: The problem with experts is they spend so much time studying a tree they completely miss the forest, the animals, the sun,…"
1124865368143560709,2019-05-05 02:36:17,Just posted a photo @ Washington Dulles International Airport https://t.co/fZSsR4Aoe7
1124656941068947464,2019-05-04 12:48:04,"@lsanger I’m with you, different countries and communities will require different platform dynamics"
1124642574042427393,2019-05-04 11:50:59,@lsanger When you remove accountability from the individual it defaults to the platform which controls it with cens… https://t.co/ynZT2ZAevx
1124642222857543680,2019-05-04 11:49:35,"@lsanger I agree that’s how you fight a battle already lost, and unfortunately much of the world is already there,… https://t.co/6oo38PQZuX"
1124639793902604288,2019-05-04 11:39:56,The sad state of anonymous and bot-driven hate speech on social media is creating rationale for censorship; we need… https://t.co/OI1g1kngh1
