id,created_at,text
1128818687258124288,2019-05-16 00:25:22,Seeing great questions from the community for tomorrow's YouTube Live AMA @ noon PST where we'll talk about all thi… https://t.co/3ZcerEx9lj
1128818658707410944,2019-05-16 00:25:15,RT @coinbase: “The most important thing to understand about the cryptoeconomy is that we’re not simply righting the wrongs of finance 1.0.…
1128639903519137792,2019-05-15 12:34:56,"""there are no traffic jams along the extra mile"""
1128395170595078144,2019-05-14 20:22:27,Heads' up. I'm getting ready to host my second YouTube Live video #AMA on Thursday @ noon PST. What do you want to… https://t.co/0pBF0iVJZU
1128394881938935810,2019-05-14 20:21:19,RT @coinbase: Today we expand USD Coin trading to 85 countries across the globe. This helps accelerate the global adoption of crypto tradin…
1127765087761182722,2019-05-13 02:38:44,RT @js_horne: @RachaelRad im ready for the everything exchange
1127465301858107398,2019-05-12 06:47:29,"RT @then_there_was: @Cernovich I used to think because I could speak well that I would also be good in a debate.

But then I spoke to polic…"
1127463639395356672,2019-05-12 06:40:53,RT @paulg: It's hard to beat someone at something if they enjoy it and you don't. This is true for good things like writing and dancing and…
1127463436164579329,2019-05-12 06:40:05,"RT @dan_coff: 1. Have the opportunity to greenfield some business-critical application, and stick around long enough to see the next genera…"
1127264038197481472,2019-05-11 17:27:44,"https://t.co/4ueuoO4b8Z

""With great pleasure we would like to report that we have discovered a GraqhQL endpoint th… https://t.co/yEZ4p9wn3i"
1126691706827489280,2019-05-10 03:33:30,"@ljxie Totally agree. Anonymous accounts can speak unpopular truths, and there are many these days. My fear was alw… https://t.co/j8GihUJRI8"
1126691088364781569,2019-05-10 03:31:03,"RT @coinbase: This week, the security teams at Coinbase and @CoinbaseCustody found a critical vulnerability in MKR voting contracts. Here's…"
1126324972228628480,2019-05-09 03:16:14,"In a world of decentralized identity, this should just be scanning a QR code, which shares my proof of funds, and p… https://t.co/2pEXmut8FW"
1126324529926692865,2019-05-09 03:14:28,"Proof of income? uploading random PDFs is state of the art
Proof of assets? We've never heard of this concept, must… https://t.co/OSG2UfXldf"
1126324100681609217,2019-05-09 03:12:46,I just filled out a rental application in SF - what an inspiration to help accelerate the creation of the open fina… https://t.co/HVu7waEiss
1125893768517910529,2019-05-07 22:42:47,"where we expect everyone to help put ""top 10%"" talent in every seat."
1125893732275052546,2019-05-07 22:42:38,Coinbase is a place that values high performance. What does this mean? It means we look for people who can get a lo… https://t.co/WcCUq9uFSQ
1125827085568815104,2019-05-07 18:17:48,Thank you @fredwilson for being a great board member and helping us build this company 👏👏👏 https://t.co/1DhRv1lsv0
1125547437005910022,2019-05-06 23:46:35,"Now more than 30 crypto assets available on Coinbase Custody 🙌

https://t.co/oiKktOmsKA"
1124799772110360576,2019-05-04 22:15:38,"Enjoyed this talk, covers some of the coming societal changes and ethical concerns around gene editing https://t.co/9UtGhTIF2u"
1124474281306361856,2019-05-04 00:42:15,Thank you @balajis for your incredible contributions to @coinbase! You will be missed and I can't wait to see what… https://t.co/1GLxlIxT1N
1124349755000119296,2019-05-03 16:27:25,"RT @DelRey: When Jeff Bezos announced a year ago that Amazon Prime had 100 million members, I had a thought: I don’t know a ton about how P…"
1124106225199734784,2019-05-03 00:19:43,"@Michael35267456 I agree, not ideal. Stablecoins are sort of a stepping stone. Some limitations, some benefits. Hop… https://t.co/9qcOMSdF6O"
1124105133313466368,2019-05-03 00:15:23,@LukeDashjr That's a fair point actually. It doesn't have all the benefits. Certainly some though. Let's see if we can update that...
1123740152591990785,2019-05-02 00:05:05,"https://t.co/vBZYqBocJv

Great to see AI graduating from games to accelerating scientific research."
1123687870395502592,2019-05-01 20:37:20,"With the confirmation that Tether is not fully collateralized, my hope is that the industry graduates to more trust… https://t.co/ZzHpJOwSb4"
1123685695384641539,2019-05-01 20:28:41,https://t.co/BvSrAmav06 is building out some awesome software to help scale our experiment giving crypto to people… https://t.co/DcBg7WxRf5
1123685512051666944,2019-05-01 20:27:57,"RT @CoinbaseWallet: Wow! Much Coin! So Crypto! 
Announcing support for Dogecoin (DOGE) on Coinbase Wallet!

https://t.co/ymvDXjsuma"
1123677742346776576,2019-05-01 19:57:05,Congrats to @judegomila and team on the launch of @Golden and great to see cryptocurrency as a major initial area https://t.co/GRkqcoLufU
1123310744739635201,2019-04-30 19:38:46,RT @balajis: Eventually the acquisition of a company will just be the acquisition of its private keys. Everything else about the corporate…
1123310466602684416,2019-04-30 19:37:39,RT @elonmusk: @VitalikButerin What should be developed on Ethereum?
1122935556357251072,2019-04-29 18:47:54,https://t.co/4jyXbSzqSD
1122935458692878337,2019-04-29 18:47:31,"Worth subscribing to the new @naval podcast.

(On whatever podcast app you use)"
1122589489270935552,2019-04-28 19:52:45,"RT @paulg: This made my day. I would not ordinarily link to something someone wrote about me, but it makes me so happy to remember those mo…"
1122588244967735296,2019-04-28 19:47:48,"RT @shl: Most profound thing I've learned in the past eight years is the difference between behavior and intention. 

Behavior is what some…"
1119459400995835906,2019-04-20 04:34:54,@RachaelRad What warranted the third viewing?? (Or second)
1119121958640111616,2019-04-19 06:14:01,This is such a great headline https://t.co/CDq18kfSjP
1118764136370855936,2019-04-18 06:32:10,@brucefenton Accurate
1118703628406050816,2019-04-18 02:31:44,"Check out this behind the scenes look at our Hackathon last week https://t.co/jBBLZ7aw2k

Great snapshot of how Coi… https://t.co/c2yHX1hQaO"
1118701976122871809,2019-04-18 02:25:10,"RT @coinbase: Congrats to our Vision Hack 2: #cryptoforfall winners and biggest thanks to all who participated. We had 127 ideas submitted,…"
1118701895067897856,2019-04-18 02:24:50,And the asset train continues....the teams worked incredibly hard to keep these new asset launches coming. https://t.co/YGd8yD6pt3
1118700744503255040,2019-04-18 02:20:16,Excited to continue expanding crypto-to-crypto trading around the globe 🌏 https://t.co/EeUh8lbbs4
1118178725378478080,2019-04-16 15:45:57,RT @ljxie: I like writing tweetstorms significantly more than blog posts. It takes minutes to write a thread vs hours/days (less likely to…
1118021252864602112,2019-04-16 05:20:13,@danielgross UBI!
1117163003583942656,2019-04-13 20:29:50,RT @coinbase: The hacking continues as we enter day two of VISION HACK 2: #cryptoforall. Inspired by the diverse range of creative and inno…
1116583963164696578,2019-04-12 06:08:56,"@zhayitong Painful right?? Smaller services help, but slow down in other ways. We need to keep investing in tools."
1116583498741977093,2019-04-12 06:07:05,@LauraBehrensWu https://t.co/20cf55qQC1
1116583215890780161,2019-04-12 06:05:58,"RT @coinbase: We’re excited to announce Coinbase Card, a Visa debit card that lets UK customers spend crypto as effortlessly as the money i…"
1115763187784138757,2019-04-09 23:47:28,We're working on a new way to standardize reporting internally at the moment. Important to develop rigor around thi… https://t.co/orKleia735
