id,created_at,text
1113142896176197632,2019-04-02 18:15:22,"RT @VoltzRoad: The year is 2150: Bitcoin turns out to be insecure without block rewards. A market emerges, however, for the individual hash…"
1108442102407401472,2019-03-20 18:56:05,"RT @h4shr8: Episode 9 is live!

This week, cypherpunk, #bitcoin pioneer, and the CTO of @CasaHODL, @lopp joins us to discuss why most of us…"
1108404062674780160,2019-03-20 16:24:56,"RT @NickSzabo4: Bitcoin's smaller argument surface increases its social scalability: ""The more functions a currency has, the more things th…"
1107858072012099590,2019-03-19 04:15:22,"RT @BtcpayServer: Don't buy Bitcoin - earn it. Stacking sats the self-sovereign way: ""How to earn Bitcoin by using BTCPay Server"" 

https:/…"
1107759990113103872,2019-03-18 21:45:37,ht to the polymath Tim May for pointing out to me the likely importance of coastal villages as technological leader… https://t.co/L3tvByU7Jr
1107741504338972672,2019-03-18 20:32:10,"The brown rat seems to have started its career as vermin, eating food stored by &amp; for humans, in the same general r… https://t.co/pYrBkGkLXA"
1107688695392399360,2019-03-18 17:02:19,RT @fnietom: 1/ It surprises people that Satoshi used the term timechain instead of blockchain in the first releases of Bitcoin (https://t.…
1107475678067195904,2019-03-18 02:55:52,RT @EcoSenseNow: It was actually not until 2007 that @Greenpeace first cleansed my name for the list of Founders. I was still listed on Feb…
1107388008192303105,2019-03-17 21:07:30,RT @quin_solo: This is the how we started. We wanted to be self-sovereign and earn our bitcoin. BTCPay server made it all possible! https:/…
1107011094139162624,2019-03-16 20:09:46,"RT @EcoSenseNow: Oh my! @Google has removed my photo and name from the ""Founders of @Greenpeace"". It was still there 2 days ago but now I a…"
1106750123436965888,2019-03-16 02:52:46,RT @NickSzabo4: The frequency with which sparsely populated nomads conquered populous stationary societies seems paradoxical until we reali…
1106660360688328705,2019-03-15 20:56:05,"RT @fernandoulrich: Fractional Reserves, Maturity Mismatching, Liquidity.

A long needed and essential thread on #Bitcoin and Banking (and…"
1106337872745885696,2019-03-14 23:34:38,"RT @TuurDemeester: Slippery language by Tether. ""100% backed"" &lt;=&gt; ""may also include receivables from loans issued"". Imo this is a clear tra…"
1105985215078457344,2019-03-14 00:13:18,"RT @NickSzabo4: The Cantillon effect: ""the first ones to receive the newly created money see their incomes rise, whereas the last ones to r…"
1105570254099353600,2019-03-12 20:44:23,RT @marshalletaylor: We put together this visual timeline of #bitcoin's most storied moments. From the preBitcoin work of @NickSzabo4 or @c…
1105329229636427776,2019-03-12 04:46:39,RT @Catheryne_N: I just published #Ethereum Woes https://t.co/hrwDSpggoq
1105315489884987392,2019-03-12 03:52:03,RT @lopp: Big scary nodes lead to Ethereum Woes H/T @Catheryne_N https://t.co/7iP6gJN8nH https://t.co/70DYBpi8xk
1105310141333745664,2019-03-12 03:30:48,"RT @SatoshiChela: 1/2 Must follow guys who are spreading the light of Bitcoin:
@NickSzabo4 (his writings are all worth writing in Gold)
@ad…"
1104836281425518592,2019-03-10 20:07:51,The frequency with which sparsely populated nomads conquered populous stationary societies seems paradoxical until… https://t.co/eeaHXNc0qe
1104605587722006534,2019-03-10 04:51:09,@AdamEliotCooper @SohrabAhmari @IlhanMN Invade the world and invite the world. ht @Steve_Sailer
1104583258346409985,2019-03-10 03:22:25,RT @NatureisScary: Komodo Dragon attacks poor goat https://t.co/RPpTgZj9FJ
1104227052058640385,2019-03-09 03:46:59,"RT @TokenHash: ""Social scalability is much more important than computational scalability.""

--Nick Szabo

Money, blockchains, and social sc…"
1104189022270705664,2019-03-09 01:15:52,RT @kyletorpey: Bitcoin users in Canada are being targeted with audits by the Canada Revenue Agency (federal tax agency). Attached are some…
1103832540794675200,2019-03-08 01:39:20,"RT @senseisystem: #DontTrustVerify #Bitcoin

‘Trusted Third Parties are Security Holes’ by @NickSzabo4 

https://t.co/OgAxhF1Rzn https://t.…"
1102791758608457728,2019-03-05 04:43:38,"RT @ddelruss: Good sense on certain Bitcoin uses for a struggling economy, 2015 Greece in this case. I think 2018/19 Venezuela has been emp…"
1102657775736246272,2019-03-04 19:51:14,RT @StephNogales: Newbies in Venezuela get into bitcoin by selling food or services and pay directly with bitcoin. It can't be that hard on…
1102314083326427136,2019-03-03 21:05:32,"RT @fittysebum: At 1:22:26 @NickSzabo4 and @eiaine presentation on ""Weak Signal Radio Communications for Bitcoin Network Resilience""
https:…"
1102313720347209728,2019-03-03 21:04:05,@pwkad @_jillruth @coinbase @brian_armstrong Are they covered by the same regulations as banks there? And do said r… https://t.co/0lhoUEqIgy
1102310780282630144,2019-03-03 20:52:24,@pwkad @_jillruth @coinbase @brian_armstrong It depends who is receiving the data. In some cases they are legally r… https://t.co/dR1tmFECUZ
1102309882080878593,2019-03-03 20:48:50,"RT @pierre_rochard: @sheikki @rtayag @NickSzabo4 The three universal phases of Bitcoin usage:

1. Utility (receiving btc)
2. Speculation (h…"
1102248031515107328,2019-03-03 16:43:04,"RT @HaavardNord: These fat trusted third-partys are security holes. - @NickSzabo4

Bitcoin doesn't need Coinbase.
We have to educate newbs…"
1102073819794092032,2019-03-03 05:10:48,RT @hasufl: The absurd growth rate of the EOS blockchain shows again why networks need TX fees. When transaction costs are socialized on fu…
1102073378586812416,2019-03-03 05:09:03,"RT @bennyjohnson: I had the privilege of filming the story of these young freedom fighters. 

They were born in Venezuela and lived under R…"
1102069735703732224,2019-03-03 04:54:35,"RT @BobMcElrath: ASIC ""resistance"" is opening yourself to attack by the combined hashrate of Nicehash + Ethereum + Monero + Grin + Zcash.…"
1101950962661376000,2019-03-02 21:02:37,"RT @eiaine: @pierre_rochard I'd be more worried if NYTimes said ""Bitcoin *hasn't* failed."" Receiving approval from NYT is basically like ge…"
1101950695979151360,2019-03-02 21:01:33,"RT @pierre_rochard: There are 4 million NYTimes subscribers

There are 7 million Bitcoin users

NYTimes has failed to get mainstream consum…"
1101661989204443137,2019-03-02 01:54:20,"RT @Beautyon_: ""I presume people who publicly talk about Bitcoin needing rules understand the only rules are the ones in their own node. Be…"
1101574766719201282,2019-03-01 20:07:45,RT @eiaine: Bitcoin is making ham radio cool again! https://t.co/DBqCixd3dw
1101298139883962368,2019-03-01 01:48:32,"@BitGoldNinja @HereNowDanny That's a good question. It's a matter of convention: wallets, exchanges, etc. treat it… https://t.co/6IgVkaHGwb"
1101297045388709888,2019-03-01 01:44:11,"RT @BitGoldNinja: 'Bitcoin is not a list of cryptographic features, it's a very complex system of interacting mathematics and protocols in…"
1100971924853710848,2019-02-28 04:12:16,RT @yhazony: Attorney-client privilege is another inherited tradition. Overthrow the traditions and it too will become a dead letter. The r…
1100942031063400449,2019-02-28 02:13:29,"RT @NickSzabo4: How blacklists work (used in KYC/AML, anti-virus software, etc.).  Blacklists and whitelists are based on identity, which i…"
1100813531639730176,2019-02-27 17:42:52,"RT @coreyj_miller: The EOS blockchain is pretty big. Like 4TB big, and growing rapidly. Out of 21 elected block producers, only 2 (10%) run…"
1100790895006208001,2019-02-27 16:12:55,"How blacklists work (used in KYC/AML, anti-virus software, etc.).  Blacklists and whitelists are based on identity,… https://t.co/lN9aGsLMph"
1100255303474470913,2019-02-26 04:44:40,"RT @misir_mahmudov: Bitcoin doesn’t care:

- what color you are
- what sex you are
- what age you are
- what your religion is
- who your pa…"
1100115288048062464,2019-02-25 19:28:18,"@richiekp101 @rudileismann @EconTalker Also boycotts, embargoes, sanctions, etc."
1100108666785521665,2019-02-25 19:01:59,"@dan_talmon A gun can help with the key management, but generally speaking yes, Bitcoin greatly reduces the amount… https://t.co/JvMfonPAnz"
1100068348358881281,2019-02-25 16:21:47,"RT @Stadicus3000: Received a package from @21isenough today, with a printed #Bitcoin #LightningNetwork invoice on the box for me to pay for…"
1099825072800296961,2019-02-25 00:15:05,"@TradingEveryth1 @RadagastTBrown @Excellion Or, you could actually hold and validate your own Bitcoin. The software… https://t.co/zn4jHzxsoe"
1099781274036711424,2019-02-24 21:21:03,"@Excellion This doesn't account for variation in demand, which is what produces Bitcoin's volatility. It will very… https://t.co/3h2HnSSDnJ"
1099363996791070720,2019-02-23 17:42:56,@theinstagibbs Sounds like Bitcoin carnivory has suffered in the bear market.
1099342306304389122,2019-02-23 16:16:45,@midmagic @socrates1024 @adam3us @ecurrencyhodler @IEEESSP @pwuille @Blockstream I'm not part of the /r/btc/BU crow… https://t.co/cn3ELbzcWi
1099324987876421632,2019-02-23 15:07:56,"RT @WhalePanda: ""Bitcoin trader tortured with drill"" in the Netherlands.
The robbers were dressed as police with bulletproof vests and mask…"
1099319490783793152,2019-02-23 14:46:05,"RT @adam3us: @NickSzabo4 See also @bergealex4 ""Tao of Bitcoin Development"" which elaborates on the connection between FOSS, IETF and TCP/IP…"
1099099963982733314,2019-02-23 00:13:46,"RT @nic__carter: @bitstein Betty makes her money from bitcoin and tasty roast meat. Be like Betty. 

https://t.co/0HqaFp2vgF"
1098956460908699648,2019-02-22 14:43:32,RT @lopp: EOS has achieved the big blocker vision to a degree that Bitcoin forkers can only dream of. https://t.co/ayzXvrvnjz
1098687931517001728,2019-02-21 20:56:30,@Macr0chip @CountTweet @LukeDashjr @TokenHash @pyskell @fluffypony Please link us to the best primary sources on ho… https://t.co/XgXwwPfBo0
1098631697438916608,2019-02-21 17:13:02,"RT @TheCryptoconomy: 🔥🎙️ Today's #Bitcoin #Audio Article! ☕️🤓

Covering another awesome piece that I've been really wanting to get to! 

@N…"
1098620113673179136,2019-02-21 16:27:01,"RT @gaborgurbacs: Make time to watch this educational series with @NickSzabo4. Topics: history of money, Bitcoin, gold, blockchains, smart…"
1098612929358753793,2019-02-21 15:58:28,"RT @Beautyon_: This is true, and it is why people who understand this are unalterably opposed to KYC/AML in Bitcoin. Who is buying what can…"
1098598730368991232,2019-02-21 15:02:02,@CountTweet @LukeDashjr @TokenHash @pyskell @fluffypony I haven't seen anybody look into this particular Dash featu… https://t.co/xAqJk8Qy2s
1098434281414639617,2019-02-21 04:08:35,"RT @MihailoBjelic: Zether (by @benediktbuenz, Dan Bohen et al.) is the first privacy mechanism built specifically for Ethereum, i.e. accoun…"
1098405006863003648,2019-02-21 02:12:15,@r81ne @ryan_ness @eiaine @brian_trollz @jack @tippin_me @CashApp You work for somebody and they pay you in Bitcoin.
1098354207596269568,2019-02-20 22:50:24,"RT @eiaine: @brian_trollz @jack @tippin_me why do bitcoin ppl shit on coinbase and bitpay, but are totally stoked on custodial wallets like…"
1098336530622345216,2019-02-20 21:40:09,"@LukeDashjr @TokenHash @pyskell That said, I don't know how (or if) Dash solves the problem of preventing Sybil att… https://t.co/3blhQLmcvb"
1098329232164306949,2019-02-20 21:11:09,"@LukeDashjr @TokenHash @pyskell Luke, what do you think of Dash's system for remunerating full nodes?  This debate… https://t.co/AmJhYgCpPT"
1098285756047515649,2019-02-20 18:18:24,"RT @TokenHash: ""The Corporate Capture of Ethereum Classic by ETC Labs"" - @TokenHash https://t.co/H0UrR3sDqR https://t.co/OTILeUARNo"
1098014069041225728,2019-02-20 00:18:48,RT @simongerman600: All the World’s Billionaires in a Single Map. Source: https://t.co/q5zCMX7N4e HT @howmuch_net https://t.co/MllAClHjBf
1097904425518063616,2019-02-19 17:03:07,"@Eddie_Michael21 @bquittem Bitcoin would, in economic essence, turn into bit gold:

https://t.co/fTinXqXLQ4

Essent… https://t.co/8wPtMDMf6L"
1097903262835982337,2019-02-19 16:58:30,@bharathrao @bquittem That's by far the most likely outcome among current Bitcoin cognoscenti.  But if you took a v… https://t.co/pjtelVbnY4
1097899087427395585,2019-02-19 16:41:55,"@bquittem Bitcoin's unforgeable costlines provides a secure, albeit complicated and risky, fallback supply limit sh… https://t.co/yzTbcncXbD"
1097898121550487552,2019-02-19 16:38:04,RT @bquittem: Bitcoin isn't gold coins... it's the gold element https://t.co/jk5tcAEa0a
1097034440528687104,2019-02-17 07:26:07,@adam3us @MrHodl @nic__carter @Truthcoin This smacks of asking for volunteers to mine despite having unprofitable r… https://t.co/Pp9WC9AivP
1096986816714964992,2019-02-17 04:16:52,"RT @DDGaddis: @NickSzabo4 Internet? Where we’re going, we don’t need the internet

#RIPLincolnLiquidity 

#Bitcoin Successfully Sent Cross-…"
1096828040762482688,2019-02-16 17:45:57,"RT @SciHiBlog: On February 16, 1822, the cousin of Charles Darwin, Sir Francis Galton was born. Galton the polymath, was known for his fund…"
1096827758842327040,2019-02-16 17:44:50,"RT @bisq_network: Reminder: Bisq offers you the ability to arrange face-to-face cash trades for bitcoin.

You know, to step around the whol…"
1096757487229784064,2019-02-16 13:05:36,RT @remyers_: This is why exchanges collecting KYC puts their users personal data at risk the same way being a BTC custodian puts their fun…
1096297313054539776,2019-02-15 06:37:02,RT @sukru09347068: I triple-love bitcoin because it can't be controlled. https://t.co/rCjxL2lIZJ
1096289169423233025,2019-02-15 06:04:40,@Stop_Groupthink @realLudvigArt @AOC An awful thing for Ethereum. 😬
1096282662195519488,2019-02-15 05:38:49,@realLudvigArt @AOC All the cool progs love hi tech and double-love Bitcoin until they figure out they can't control it.
1096257749162160129,2019-02-15 03:59:49,"@miraclebet Yes, but intelligent people who are motivated to learn about Bitcoin already know the answers to these… https://t.co/eblKArF2kC"
1096136982718078976,2019-02-14 19:59:56,RT @danheld: JPMorgan's Crypto Coin Puts Ripple's Relevance in Question https://t.co/vz3QmoAzMu
1096113685615890432,2019-02-14 18:27:22,"RT @SamuelPatt: Two of my favorite things, Bitcoin and amateur radio.

Bitcoiners should seriously consider learning more about how radio w…"
1095901742821138432,2019-02-14 04:25:11,"RT @kyletorpey: $EOS raised $4 billion and has a network value of $2.6 billion.

$ETH raised $18.3 million and has a network value of $13 b…"
1095884693604462592,2019-02-14 03:17:26,"RT @wikileaks: The Bernie Madoff of #Bitcoin, Craig S. Wright, who keeps forging documents to make it seem that he is Bitcoin's pseudonymou…"
1095477329881554944,2019-02-13 00:18:43,"RT @phil_geiger: In order to kill #Bitcoin, you now have to shut down the internet, satellites, and the ionosphere. https://t.co/ESvpXUjrZK"
1095471796982149120,2019-02-12 23:56:43,Bitcoin sent over national border without internet or satellite -- just nature's ionosphere. https://t.co/IKCAXGs9fW
1095357942239453184,2019-02-12 16:24:18,"RT @stephanlivera: SLP52 @jack (CEO @square) &amp; @starkness (CEO @lightning) - Bitcoin: Native Currency of the Internet

Enjoy the podcast, a…"
1095220237463482368,2019-02-12 07:17:07,"RT @lopp: Welcome to Bitcoin, newcomers! Here's your FAQ:

Q: Who should I trust?
A: Nobody.

Q: When should I sell?
A: Never.

Q: Is Bitco…"
1095094549012045824,2019-02-11 22:57:41,"RT @cryptoidshop: An open thread:

Just listened to @stephanlivera pod SLP52 @jack (CEO @square) &amp; @starkness (CEO @lightning) - Bitcoin: N…"
1094867300191105024,2019-02-11 07:54:40,"@traderpd @SimonClarkeMP @mattwridley I don't know about the politics, but it does have a lovely British name."
1094856526114611200,2019-02-11 07:11:51,RT @bigfatsurprise: #EATLancet primary funder  investing in dirty fuels. Then funds a report to blame global warming mostly on animal ag ht…
1094696951205965824,2019-02-10 20:37:46,"@robep00 @Ragnarly @saifedean @__torus @La__Cuen Yes, and states, constitutions, etc. are not opt-in."
1094685275257634821,2019-02-10 19:51:22,"RT @GovMikeHuckabee: Here's the link to article exposing the phony ""fact checkers.""  Read it and don't believe the ""fact checkers"" again un…"
1094487420584701953,2019-02-10 06:45:10,"RT @realLudvigArt: If you are politically active &amp; don't own any #Bitcoin, you are doing it completely wrong. Better yet; if you are alive…"
1094397410569183232,2019-02-10 00:47:30,@BradCLemley @TuurDemeester @martijnbolt The biggest ones for gold vs. Bitcoin are likely the physical security and… https://t.co/nNnvu6xhqd
1094390720264208384,2019-02-10 00:20:55,"@TuurDemeester @martijnbolt Weight or control is not why central banks hold gold, and it wouldn't be why they'd buy Bitcoin."
1094314464357183488,2019-02-09 19:17:54,"@Ruminorang @KetoAurelius This has also been abused by meta-studies that purport to find ""no link between X and Z""… https://t.co/zQq5tSNtWN"
