id,created_at,text
1129083572244033538,2019-05-16 17:57:55,"It’s my personal opinion that “1 token: 1 vote” is critical to the continued integrity of #EOS, by ensuring block p… https://t.co/9IYo5V7zTa"
1128654728206979075,2019-05-15 13:33:51,"First investors buy, then they talk. #Bitcoin is about to get loud."
1127058491909140480,2019-05-11 03:50:58,"RT @BrendanBlumer: @scottcarat @BitsFromHeaven @ethereumJoseph @AlethioEthstats @ChrisCCrowley @novogratz Also, #EOS producers are elected…"
1127058407561748480,2019-05-11 03:50:38,"@scottcarat @BitsFromHeaven @ethereumJoseph @AlethioEthstats @ChrisCCrowley @novogratz Also, #EOS producers are ele… https://t.co/tLsR9pZLAl"
1124455398021316608,2019-05-03 23:27:12,@C3_Nik If there were metrics and frameworks that proved my opinions then Bitcoin would be much more expensive than… https://t.co/DAphTb0IIw
1124439090701594624,2019-05-03 22:22:24,"@EOS_WILL_BE_1ST Liquidity and global awareness. #EOS does not compete with #Bitcoin, it’s a high performance distr… https://t.co/KNUvEMXFXB"
1124437443308974080,2019-05-03 22:15:52,#Bitcoin risk vs return ratio has never looked better
1123736035760984065,2019-05-01 23:48:43,"RT @eosnewyork: Today, EOS reduced the cost of development resources by 99.9% leveraging the new resource exchange (REX). The pace of progr…"
1123246513386184704,2019-04-30 15:23:32,"@Ashe_Oro Few differences:

#EOS can handle all governance costs with less relative inflation than the USD, because… https://t.co/AMBZmPDtWk"
1123202117781430272,2019-04-30 12:27:07,"@Sadovskyi_Alex @scottcarat @elonmusk @VitalikButerin #EOS has an unlimited number of validators as well

#ETH has… https://t.co/Y7QXcSNB2E"
1122336248662646784,2019-04-28 03:06:28,"RT @Panama_TJ: My favorite answer to: WHAT IS BITCOIN?

By @valkenburgh. https://t.co/np7hlA8y9r"
1120911171081478144,2019-04-24 04:43:43,@twobitidiot We understand these concerns. This is in our view just a timing issue as we work to find the right rep… https://t.co/PaDkyTV0lI
1120910939685920768,2019-04-24 04:42:48,@ColinTCrypto @CypherglassBP @EverythingEOSio @finchify @block_one_ @eos @crypto_adri #2 We understand these concer… https://t.co/ScvIvEmqLn
1120285174506213378,2019-04-22 11:16:14,"@AdamDorfman00 @rushingdallas @peos_one @monero Yes, but it can create a socially-driven domino effect of changes to ""best practices"""
1120248878681321472,2019-04-22 08:52:00,"@shawnha06143336 #Bitcoin, #EOS, and #Ethereum are all evidence. 

As people have more product alternatives now tha… https://t.co/lv7As5vZ7Y"
1120174958280183808,2019-04-22 03:58:16,@AdamDorfman00 @rushingdallas @peos_one @monero The regulated application of KYC/AML to crypto currencies will spli… https://t.co/3m4WPqrj7y
1119865630092595200,2019-04-21 07:29:06,"@rushingdallas @peos_one @monero Right now their intensively defended by privacy enthusiasts, but they’ll increasin… https://t.co/dqmqrQPtGP"
1117588835339096065,2019-04-15 00:41:56,RT @danheld: The world has an unlimited supply of fiat to buy a limited supply of 21M Bitcoin.
1117433348404600833,2019-04-14 14:24:05,"RT @BrendanBlumer: @sbmeunier #Bitcoin is a better store of value than anything that has existed before, and is on course to replace Gold a…"
1117433324991946752,2019-04-14 14:24:00,"@sbmeunier #Bitcoin is a better store of value than anything that has existed before, and is on course to replace G… https://t.co/kkiWrposDN"
1117413791023558656,2019-04-14 13:06:22,This article succinctly explains why B1 decided to abstain from making any formal recommendations on #EOS public… https://t.co/t3YU542Dkk
1116936797051768834,2019-04-13 05:30:58,Couldn’t ask for a better partner. #EOS https://t.co/vROwjadUNn
1116873076010917888,2019-04-13 01:17:46,RT @JohnnyMkool: #EOS - a blockchain where you actually have a say in what happens.. not just sitting around waiting for the ”core develope…
1116867973426192384,2019-04-13 00:57:29,#EOS can unleash #Bitcoin and make it more decentralised than ever
1116841792870031360,2019-04-12 23:13:27,"RT @simoncase78: @BrendanBlumer Agree 100%

#eos can now move forward with a governance model we can all work with.

And for those who want…"
1116823119249887232,2019-04-12 21:59:15,Congratulations #EOS 🎉... a huge milestone that paves the way for rapid progression of both performance and decentr… https://t.co/3XujYylKFo
1116367331565817856,2019-04-11 15:48:07,"RT @ColinTCrypto: I can barely keep up with other coins because I'm so immersed in EOS.

It's pretty amazing that I can regularly do large…"
1115479822950494210,2019-04-09 05:01:29,"“#Blockchain will do to the banks and law firms what the internet did to media, and #Bitcoin is the killer applicat… https://t.co/pMRHdHC7JA"
1115255565582647296,2019-04-08 14:10:21,#Bitcoin Will Become The Largest Store Of Value In The World Says https://t.co/IaNK8hWLo7 CEO https://t.co/oX7kheNgvD
1115154674879881216,2019-04-08 07:29:27,"@alistairmilne @BitcoinErrorLog I’m very bullish on #Bitcoin, but I’m also real with its limitations; it’s not eith… https://t.co/9bcZ0fddZS"
1114744130670718976,2019-04-07 04:18:06,"#EOS transactions complete in one second, allowing you to build decentralised applications with real-time responsiveness"
1114740212221927424,2019-04-07 04:02:32,"@Iamhifisoft At current price levels, #EOS costs about 150,000 USD per day, compared to Bitcoin’s 9,000,000 USD dai… https://t.co/FffTsnHYNc"
1114691702785069056,2019-04-07 00:49:46,"What if #Bitcoin could flow onto #EOS and transact nearly free and nearly instant, while becoming programmable and scalable"
1114691415584296960,2019-04-07 00:48:38,"The #Bitcoin network currently costs 1800 BTC to “secure” 360,000 transactions each day, or 25 USD per transaction,… https://t.co/pYwfrS3EW4"
1114687165525401600,2019-04-07 00:31:44,"@vakeraj @DigitalChamber I love #Bitcoin too, but that won’t make it fast or cheap

Bitcoin has everything it needs… https://t.co/ovu59yPSc9"
1114437575802884096,2019-04-06 07:59:57,#EOS doesn’t offer free cars; it offers a better foundation to run society
1113598868870946816,2019-04-04 00:27:14,"RT @MaxDapp: Lot's of you guys in the community are in this video! 
The EOS Cinematic - Excitement For EOS Is Growing
https://t.co/q4UrcCTo…"
