id,created_at,text
1128394881938935810,2019-05-14 20:21:19,RT @coinbase: Today we expand USD Coin trading to 85 countries across the globe. This helps accelerate the global adoption of crypto tradin…
1126691088364781569,2019-05-10 03:31:03,"RT @coinbase: This week, the security teams at Coinbase and @CoinbaseCustody found a critical vulnerability in MKR voting contracts. Here's…"
1123687870395502592,2019-05-01 20:37:20,"With the confirmation that Tether is not fully collateralized, my hope is that the industry graduates to more trust… https://t.co/ZzHpJOwSb4"
1123685512051666944,2019-05-01 20:27:57,"RT @CoinbaseWallet: Wow! Much Coin! So Crypto! 
Announcing support for Dogecoin (DOGE) on Coinbase Wallet!

https://t.co/ymvDXjsuma"
1123310466602684416,2019-04-30 19:37:39,RT @elonmusk: @VitalikButerin What should be developed on Ethereum?
1122589489270935552,2019-04-28 19:52:45,"RT @paulg: This made my day. I would not ordinarily link to something someone wrote about me, but it makes me so happy to remember those mo…"
1113317361338028032,2019-04-03 05:48:38,RT @AsiffHirji: More irony on the day bitcoin spikes  https://t.co/c05g3cadYf
1112907413533814785,2019-04-02 02:39:38,"Building a great support group around you also helps give incredible leverage (exec assistant, chief of staff, etc)… https://t.co/CiqVLQEXbi"
1112906375330332673,2019-04-02 02:35:31,"Lots of components here, including health (sleep, nutrition, meditation, etc), exec coaching (polite word for thera… https://t.co/w3HVlvBtHo"
1112767452666949632,2019-04-01 17:23:29,@mwkl5532 @RinatDossayev Real answer: i do think competition and status seeking is innate in humans genetically. So… https://t.co/Az7hFCqlLZ
1112447713751109632,2019-03-31 20:12:57,Tried to ask a serious question and got spammed by the DigiByte community 😑 tough to filter signal from noise https://t.co/FLCqUDx7b1
1111693465258070016,2019-03-29 18:15:51,"Thank you @breitwoman and @tezos team for being an innovator in crypto governance, and having such tenacity/determi… https://t.co/WynQZbjfd3"
1111692565999304704,2019-03-29 18:12:16,"RT @coindesk: BREAKING: @CoinbaseCustody has launched staking services for institutional clients, starting with Tezos and touting 6.6 perce…"
1111684760235966464,2019-03-29 17:41:15,"Excited to launch staking support for Tezos through Coinbase Custody!
https://t.co/wPsFJpiVlc

Support for more sta… https://t.co/uv8hT8Dtbt"
1110733022163161089,2019-03-27 02:39:23,"If you're still learning about crypto, now you can earn some while you're learning! Get $50 of Stellar Lumens (XLM)… https://t.co/cWiDSOulQY"
1110630928332709888,2019-03-26 19:53:42,RT @coinbase: Today we’re launching our biggest Coinbase Earn opportunity yet. Any eligible US user can now learn about the Stellar protoco…
1105943761001971713,2019-03-13 21:28:34,Stellar Lumens (XLM) is launching on Coinbase Pro! The new asset train continues  https://t.co/9VN2rqtqQx
1100128920920178688,2019-02-25 20:22:28,"RT @CoinbasePro: When XRP?? Now! XRP/USD, XRP/EUR, and XRP/BTC order books will soon enter transfer-only mode, accepting inbound transfers…"
1099813274999152640,2019-02-24 23:28:12,"9/ Finally, pull the trigger, and just keep moving forward - don't let choosing the name slow you down. Little know… https://t.co/QJ5kDfHn9o"
1099812847385636865,2019-02-24 23:26:31,"8/ 
f. does the name suggest what you do?
g. does it sound positive (or at least neutral)?"
1098622915581374464,2019-02-21 16:38:09,Coinbase will continue offering both hot and cold storage solutions - customers should choose the right tool for the right job.
1098622469932371973,2019-02-21 16:36:22,I wrote a post on Fortune about some misconceptions related to hot vs cold storage of crypto assets https://t.co/BSFRGuyvfs
1098620166877761541,2019-02-21 16:27:13,"RT @coinbase: During the recent BCH/BSV hard fork, we implemented a technique called “dust mixing” to generate isolated transactions on the…"
1096595301983432704,2019-02-16 02:21:08,RT @coinbase: Earn $3 worth of Zcash with a new Coinbase Earn opportunity today. Check out the Earn ZEC page to view educational videos abo…
1093023104815845376,2019-02-06 05:46:30,"Multi-coin support for Coinbase Wallet, now with Bitcoin! Store your own private keys. Let's keep growing the… https://t.co/y4Y3yNCQyF"
1090468225286983681,2019-01-30 04:34:19,"RT @TheBlock__: USDC now supported by nearly 100 companies; exceeds $300 million in market cap
https://t.co/TzSjdqzoGl"
1082463514130673664,2019-01-08 02:26:27,"RT @varunsrin: Excellent work from the @coinbase security team who caught some scary reorgs in ETC. 

The long-tail of PoW chains will find…"
1080953049739288577,2019-01-03 22:24:24,"8/ There should be a new name for these video game + movie hybrids. The term ""video game"" would actually be good if… https://t.co/UG5rU0Ntkd"
1080910647527763968,2019-01-03 19:35:55,"12/ To the extent I was critical of people working on any part of Bitcoin or crypto in the past, I apologize. My ho… https://t.co/feJNGjb1s2"
1080910061021458432,2019-01-03 19:33:35,11/ Bitcoin remains the most popular asset on Coinbase among new customers and longtime hodlers alike. It's great t… https://t.co/t33yuaVewc
1080909501190918144,2019-01-03 19:31:22,10/ Bitcoin is one of the most important inventions of all time and has launched a global movement. It's awesome to… https://t.co/JMWxiJXhKe
1080909418617696256,2019-01-03 19:31:02,9/ I happened to see the word 'coinbase' in the Bitcoin Wiki https://t.co/UlxV5UYRbh (it is a part of the Bitcoin p… https://t.co/wMXmjnjk1x
1080908419094069248,2019-01-03 19:27:04,"6/ It helped me start learning about Bitcoin, but it was still too difficult to use (and buggy!). So I started work… https://t.co/2nzcdaJlE6"
1080908304186892289,2019-01-03 19:26:36,5/ So I started tinkering on nights and weekends on various projects. The first part was a simple Bitcoin wallet fo… https://t.co/dkOs8HlMxZ
1080908223115227136,2019-01-03 19:26:17,"4/ Most of my friends thought Bitcoin sounded pretty crazy, but something in my gut told me it was important. I wan… https://t.co/83cYA52rSN"
1080908100994023425,2019-01-03 19:25:48,"2/ I read the Satoshi Nakamoto white paper for the first time in 2010, after seeing the link on Hacker News while I… https://t.co/drJfhuO9Ej"
1080908026318487553,2019-01-03 19:25:30,"1/ Today is a big day for Bitcoin, as it marks 10 years since the Genesis Block. Some people think I don’t like to… https://t.co/X6q8d7TDkR"
1080664660410421249,2019-01-03 03:18:27,2/ Usually at the 20 minute mark (sometimes I set a timer) I'm so engrossed in what I'm doing that I don't want wan… https://t.co/VDTrPYYA87
1076625874324205568,2018-12-22 23:49:45,@LauraBehrensWu @danielgross I think yes if it (1) helps clarify your own thinking (2) helps put out a bat signal t… https://t.co/8eKS5LFVxa
1075519708038782976,2018-12-19 22:34:15,"@WhalePanda Also does this count? https://t.co/IceMijNT2F

In case it isn't already obvious, i love Bitcoin. It's p… https://t.co/3iNw2uBrID"
1075516497265491968,2018-12-19 22:21:29,@WhalePanda Bitcoin
1073844659728728064,2018-12-15 07:38:12,"RT @danielgross: Average decibel level would be a great addition to Yelp, Google Maps etc."
1073310670299385856,2018-12-13 20:16:19,RT @zooko: So happy to see that Coinbase is donating Zcash to needy Venezuelan families. ♥️ https://t.co/uqYDM72wLh
1070383341877178369,2018-12-05 18:24:10,Welcome Zcash! https://t.co/gC99lb8hQi
1068749971216728064,2018-12-01 06:13:44,"RT @CoinbasePro: ZEC trading on Coinbase Pro is now fully live. The ZEC/USDC order book are now in full-trading mode. Limit, market and sto…"
