id,created_at,text
1128987204422914048,2019-05-16 11:34:59,"RT @wjvill: Ethereum 2.0 continues to make significant progress! Phase 2 is alive, work has started and it continues to evolve. I've writte…"
1128798812213002241,2019-05-15 23:06:23,RT @OpenLawOfficial: Kicking things off with @chainlink and @wanchain_org discussing smart contracts and legal.  Let’s goooooooo 🚀🚀🚀🚀.  #bl…
1128441035426803714,2019-05-14 23:24:42,"RT @niran: As more smart contract platforms launch, it’s becoming clear that it can be more profitable to compete with #Ethereum than to co…"
1128296904230674433,2019-05-14 13:51:59,"RT @coindesk: What happened to THE bet?

At #consensus2018, @jimmysong and @ethereumJoseph made a wager about the future of $ETH, today the…"
1128110251058900992,2019-05-14 01:30:17,"RT @nlw: Dear New Faces of Bitcoin &amp; Crypto Twitter:

Welcome to the hot takes, (un)qualified opinions &amp; outright meme warfare. 

To help y…"
1128080923789004800,2019-05-13 23:33:45,"RT @ConsenSys: Serenity is around the corner. Breaking down #Ethereum's history as a series of upgrades and hard forks, check out the story…"
1127933722962087941,2019-05-13 13:48:50,"RT @sassal0x: This week in crypto:

-@ConsenSys and @ethereum Foundation members join @MolochDAO 👹
-@Microsoft releases dev kit for Ethereu…"
1127355158885748738,2019-05-11 23:29:49,"RT @evan_van_ness: Latest Week in Ethereum News is out! 

https://t.co/EXLzqZB4pV 

#Consensus2019 #consensus"
1127325417189314560,2019-05-11 21:31:38,2030. On my walk home from work my AI companion sends an automated transaction to the #Ethereum blockchain for the… https://t.co/j3h8UbXosP
1127002566947164160,2019-05-11 00:08:45,RT @coindesk: JUST IN: Ethereum funding initiative @MolochDAO just got a major boost from two of the blockchain's biggest names – @ethereum…
1126965831206883330,2019-05-10 21:42:46,"The wait is over! Thanks to @mi_ayako.

@ethereum @EFDevcon V 🍣
Osaka, Japan
October 8-11, 2019… https://t.co/Cz2LERrt7Z"
1126952107993698305,2019-05-10 20:48:14,Packed house here for a forum on layer 1 vs. layer 2 value capture on #Ethereum. All-star lineup: @TusharJain_ cofo… https://t.co/tgsBeZwEeW
1126931857973612545,2019-05-10 19:27:46,"Thrilled to finally reveal that myself, @ConsenSys, @VitalikButerin, and the @Ethereum Foundation are all contribut… https://t.co/VVJf6Mw112"
1126897326235312128,2019-05-10 17:10:33,"We are so honored to have @QDiambi, Queen Diambi Kabatusuila Tshiyoyo Muata of the Bakwa Indu at Kasai Democratic R… https://t.co/IVxpXA3FuW"
1126866204239507458,2019-05-10 15:06:53,"""#Ethereum is a petri dish full of experiments right now"".

@twobitidiot from @MessariCrypto, @tehoban1,… https://t.co/AzddJMFduo"
1126844268348346369,2019-05-10 13:39:43,We’re here at @PioneerWorks_ for the next two days celebrating #Ethereum at @EtherealSummit. @amandagutterman and… https://t.co/m7K80T1XSy
1126616004874907648,2019-05-09 22:32:41,RT @coindesk: EXCLUSIVE: Fintech startup @fluidityio plans to launch ethereum-powered mortgages in California and New York. https://t.co/lU…
1125915251516616705,2019-05-08 00:08:09,RT @ErikVoorhees: Bitcoin showed how money and payments will be taken away from banks.  Ethereum and the #DeFi phenomenon is showing how lo…
1125889558619488256,2019-05-07 22:26:03,"RT @spencernoon: 1/17. The price of ETH is +8% in the past 7 days. Are we in for a bigger move?

Let's have a look at the fundamentals. Thr…"
1125836608710807559,2019-05-07 18:55:39,"Another issue of 'The State of Layer 2' by @jadler0. This time, he tackles @plasma_group's predicates, @leapdao DAI… https://t.co/NOhiLaWzCq"
1125494244385460224,2019-05-06 20:15:13,"RT @gridplus: Preparing for the @gridplus Lattice1 launch, we have a new puzzle! 🧩

2 $ETH @ethereum are hidden in the pattern of the Latti…"
1125414251999395840,2019-05-06 14:57:21,"RT @Shaughnessy119: New Episode with @ethereumJoseph 🗝️

We discuss the promise of @ethereum's Serenity upgrade, why competition isn't even…"
1124780283432140800,2019-05-04 20:58:11,RT @evan_van_ness: Latest Week in Ethereum https://t.co/qjhz9nHQUL
1124346728755408897,2019-05-03 16:15:24,RT @AlpineIntel: Our third Public Key - fresh off the press. Check out some April updates from projects like @foamspace @cosmos @tezos @bin…
1124296171860762625,2019-05-03 12:54:30,RT @coindesk: Code for ethereum's highly-anticipated proof-of-stake (PoS) blockchain is on course to be finalized as early as sometime next…
1124051360494891010,2019-05-02 20:41:42,"RT @ConsenSysEvents: Join @OpenLawOfficial, @chainlink and @wanchain_org for an event on the intersection of #smartcontracts, interoperabil…"
1124028619418931201,2019-05-02 19:11:20,"RT @ChrisCCrowley: Check out the updated @AlethioEthstats #ethereum #API! 

Now with real-time re-org handling. Check the docs -&gt; (link: ht…"
1124010294370607104,2019-05-02 17:58:31,"RT @PanvalaMark: On Monday, the Panvala Awards Committee met and recommended a slate of grants for Ethereum 2.0 and scaling teams including…"
1123989669237133312,2019-05-02 16:36:34,"RT @amandagutterman: Over at @decryptmedia, @AdrianaHamacher prepares us for NYC #Blockchain week festivities. Thanks for highlighting @Eth…"
1123961087844659200,2019-05-02 14:43:00,"RT @ofnumbers: .@ethereumJoseph article up called:  ""The Role of CSDs and Ethereum in Decentralized Finance"" 

it includes contributions fr…"
1123925671972167681,2019-05-02 12:22:16,"RT @ETHNewYork: 🥁 Introducing... 4 of our fabulous judges &amp; speakers: https://t.co/xlc1VAaPqh #ETHNYC

@VitalikButerin // @ethereum
@wen_xs…"
1123607269919350785,2019-05-01 15:17:03,"RT @ethereum: Welcome to the beginning of a new https://t.co/6FlOganaog. Built by the community, for the community. https://t.co/ewAhHbrHaz"
1123560087199592448,2019-05-01 12:09:34,"RT @josephdelong: Pleased to announce that the #Ethereum 2.0 workshop ""Road to #Interop"" will be hosted @BushXGenerator.
 
Welcoming all Et…"
1123277698011410435,2019-04-30 17:27:27,"Presenting the #Ethereum Developer Portal. 

@ConsenSys threw together a massive collection of resources for gettin… https://t.co/v76GYINvvo"
1123244427680591872,2019-04-30 15:15:15,Huge day for the @PegaSysEng team and Enterprise #Ethereum! Pantheon 1.1 marks a big step towards establishing robu… https://t.co/hjPqICfvUu
1123209319099568129,2019-04-30 12:55:44,RT @elonmusk: @VitalikButerin What should be developed on Ethereum?
1122998666917240832,2019-04-29 22:58:41,"RT @EtherealSummit: 🌧️“RAIN”🌧️ by @kevinabosch will be auctioned off at #EtherealNY

A playful example of the artist’s use of the #Ethereum…"
1122530326767702017,2019-04-28 15:57:40,"RT @evan_van_ness: Latest Week in Ethereum News 

https://t.co/V3EI5NnZBq"
1121896089895022592,2019-04-26 21:57:26,RT @ConsenSys: A significant amount of progress has been made on developing layer-2 scaling techniques on #Ethereum in the past half a year…
1121842574384410626,2019-04-26 18:24:47,"RT @airswap: This week in AirSwap:
🚀Most Popular Tokens: $DAI, $DNT, $BAT, $AST, $DGD
🐋Largest Trade: 209 $ETH &lt;&gt; 37,594 $DAI
📲Average Trad…"
1121562626323038209,2019-04-25 23:52:22,"RT @sassal0x: ""No one's using Ethereum"" 🤦‍♂️

-Active addresses: 250k+
-Network usage: 90%
-Maker: 21k+ DAI holders, 17k+ CDPs, 2mil ETH lo…"
1121471275862495237,2019-04-25 17:49:22,"A new #DeFi series from @AlethioEthstats is hot off the press. This one investigates how @MakerDAO uses DAI, algori… https://t.co/GFlxMwyfCl"
1121437110819540992,2019-04-25 15:33:37,This monster list of #Ethereum apps got a big update yesterday. @Dharma_HQ bodied Lightning Network last week. Huge… https://t.co/su0SyoST9T
