name,symbol,slug
0x,ZRX,0x
Aeternity,AE,aeternity
Aion,AION,aion
Ardor,ARDR,ardor
Ark,ARK,ark
Augur,REP,augur
Aurora,AOA,aurora
Bancor,BNT,bancor
Basic Attention Token,BAT,basic-attention-token
Binance Coin,BNB,binance-coin
BitShares,BTS,bitshares
Bitcoin,BTC,bitcoin
Bitcoin Cash,BCH,bitcoin-cash
Bitcoin Diamond,BCD,bitcoin-diamond
Bitcoin Gold,BTG,bitcoin-gold
Bitcoin Private,BTCP,bitcoin-private
Bitcoin SV,BSV,bitcoin-sv
Bytecoin,BCN,bytecoin-bcn
Bytom,BTM,bytom
Cardano,ADA,cardano
Centrality,CENNZ,centrality
Chainlink,LINK,chainlink
Crypto.com,MCO,crypto-com
Cryptonex,CNX,cryptonex
CyberMiles,CMT,cybermiles
Dai,DAI,dai
Dash,DASH,dash
Decentraland,MANA,decentraland
Decred,DCR,decred
DigiByte,DGB,digibyte
DigixDAO,DGD,digixdao
Dogecoin,DOGE,dogecoin
EOS,EOS,eos
Elastos,ELA,elastos
Electroneum,ETN,electroneum
Ethereum,ETH,ethereum
Ethereum Classic,ETC,ethereum-classic
Factom,FCT,factom
GXChain,GXS,gxchain
Gemini Dollar,GUSD,gemini-dollar
Golem,GNT,golem-network-tokens
Holo,HOT,holo
Huobi Token,HT,huobi-token
HyperCash,HC,hypercash
ICON,ICX,icon
IOST,IOST,iostoken
IOTA,MIOTA,iota
Insight Chain,INB,insight-chain
Komodo,KMD,komodo
KuCoin Shares,KCS,kucoin-shares
Linkey,LKY,linkey
Lisk,LSK,lisk
Litecoin,LTC,litecoin
MOAC,MOAC,moac
MaidSafeCoin,MAID,maidsafecoin
Maker,MKR,maker
Metaverse ETP,ETP,metaverse
Mithril,MITH,mithril
MobileGo,MGO,mobilego
MonaCoin,MONA,monacoin
Monero,XMR,monero
NEM,XEM,nem
NEO,NEO,neo
Nano,NANO,nano
Nexo,NEXO,nexo
ODEM,ODE,odem
OmiseGO,OMG,omisego
Ontology,ONT,ontology
PIVX,PIVX,pivx
Paxos Standard Token,PAX,paxos-standard-token
Polymath,POLY,polymath-network
Populous,PPT,populous
Pundi X,NPXS,pundi-x
QASH,QASH,qash
Qtum,QTUM,qtum
Ravencoin,RVN,ravencoin
ReddCoin,RDD,reddcoin
Revain,R,revain
SIRIN LABS Token,SRN,sirin-labs-token
Siacoin,SC,siacoin
Status,SNT,status
Steem,STEEM,steem
Stellar,XLM,stellar
Stratis,STRAT,stratis
TRON,TRX,tron
Tether,USDT,tether
Tezos,XTZ,tezos
Theta Token,THETA,theta-token
TrueUSD,TUSD,trueusd
USD Coin,USDC,usd-coin
VeChain,VET,vechain
Verge,XVG,verge
WAX,WAX,wax
Waltonchain,WTC,waltonchain
Wanchain,WAN,wanchain
Waves,WAVES,waves
XRP,XRP,ripple
Zcash,ZEC,zcash
Zilliqa,ZIL,zilliqa
aelf,ELF,aelf
