id,created_at,text
1127927220893253634,2019-05-13 13:22:59,@JohnArnoldFndtn How about we only allow loans to the top 250 or maybe 500 of the  4200 colleges.  Kind of like a r… https://t.co/CSrZGNAWgx
1127596851849519105,2019-05-12 15:30:13,@APompliano Never enough 😂
1127583704770076679,2019-05-12 14:37:59,This is a very important point. https://t.co/QpUgMgoko2
1127096621391421440,2019-05-11 06:22:29,"@BrendanBlumer @ethereumJoseph @AlethioEthstats @ChrisCCrowley “Can’t we all just get along” — Rodney king.     

T… https://t.co/xNmsaJtgYQ"
1126918398221459461,2019-05-10 18:34:17,"More TV.   Bitcoin bull predicts prices will triple by 2021 — but fears 'melt-up' in stocks
https://t.co/GVP23XQ7pG"
1126647078661304320,2019-05-10 00:36:10,My third ethereal.  Can’t wait. https://t.co/m1dJ52GK76
1126259833907367936,2019-05-08 22:57:23,A big TV day. https://t.co/z83pXhqR0F
1126256994044788736,2019-05-08 22:46:06,Always like talking with @ErikSchatzker https://t.co/b5bKMsJ6sy
1126198680053276672,2019-05-08 18:54:23,Excited to be on @FoxBusiness speaking crypto with @LizClaman. Tune in at the top of the hour.
1126101326881071105,2019-05-08 12:27:32,@cz_binance @VitalikButerin I very much appreciate your transparency and quick response in making the losses whole.… https://t.co/qFM2pipyu2
1126087620281405440,2019-05-08 11:33:05,"@iigunchev @cz_binance I think @cz_binance is one of the best entrepreneurs in the space. But as Batman says, “with… https://t.co/MJZyajGAvW"
1126086058477858817,2019-05-08 11:26:52,I am shocked that @cz_binance even went there.  Talk of forking or reorganizing the blockchain is close to heresy.… https://t.co/pv45AGSIjy
1126077648420126720,2019-05-08 10:53:27,@George_harrap And bitfinex isn’t either.
1125912212319633410,2019-05-07 23:56:04,You’re🥴
1125911987307851776,2019-05-07 23:55:10,2 percent is a lot when your the worlds largest crypto exchange.   No way to spin this as good.  Will certainly bri… https://t.co/7oJeoVumei
1125792755907743744,2019-05-07 16:01:23,@MarkSBader I always liked @marksbader😋
1125476339232989187,2019-05-06 19:04:04,@Fgbrisco @BeattheStreets I love you two.
1125370685466009600,2019-05-06 12:04:14,@mikeyavo @realDonaldTrump That is bizarre
1125154852500381696,2019-05-05 21:46:35,"Like @realDonaldTrump or hate him, you have to be amazed at the intensity of his tweeting, pot stirring, misdirecti… https://t.co/WQxO8htABn"
1125125914738741248,2019-05-05 19:51:36,@FloWrestling That could be the wrestle off for an Olympic spot next year? Will Cox’s athleticism be Snyder’s crypt… https://t.co/JJnCivduaI
1125009293462376450,2019-05-05 12:08:11,@SquirlyyD Wow. RIP Prince.  Wow. Really awesome.
1124997820052922368,2019-05-05 11:22:36,Andy has been a true hero to wrestling and an amazingly warm and decent man.   Proud to call him a friend.… https://t.co/bWsAFCKQrd
1124997043792109569,2019-05-05 11:19:31,@SquirlyyD So good
1124987331923120128,2019-05-05 10:40:55,This will make your Sunday morning better.  I promise.  David Byrne and a choir doing Bowie’s Heroes.   https://t.co/XaVF4OVWD0
1124984622050365440,2019-05-05 10:30:09,"Of course, when you bet on $BTC they can’t change history. https://t.co/CI9rWihDr2"
1124847978647306242,2019-05-05 01:27:11,"When you bet on Maximum Security, and he wins, and you celebrate, and then they steal your win.  It’s just not fair. https://t.co/xeRHuJ26IB"
1124653704265764864,2019-05-04 12:35:12,This is infuriating and why we must expand the army of criminal justice reformers.   Get on the right side of histo… https://t.co/BOgPii6h0e
1124633453222420480,2019-05-04 11:14:44,"This makes me more bullish Bitcoin.    Stephen Moore, Herman Cain, and Mike Pence all make me bullish hard money.… https://t.co/s4RzuHUNXl"
1124247283451748352,2019-05-03 09:40:14,The Longs.  Stay in trend. https://t.co/w11Zuz7NjL
1123930782068822019,2019-05-02 12:42:34,The world is getting scarier at an increasing pace.   We need to make a stand now before it’s too late.… https://t.co/pWGVvMCQ9W
1123925365733437442,2019-05-02 12:21:03,Proud to be a part of this team.    I wouldn’t short us.  😉 https://t.co/w9cO5bgxlx
1122976644216578048,2019-04-29 21:31:10,I’m a sucker for a good meme😂
1122975046824337412,2019-04-29 21:24:49,This is awesome.  Please invite me. https://t.co/XWi8PpRgPL
1122401892670365697,2019-04-28 07:27:19,@WhoIsJamesG #grace
1121761199547457536,2019-04-26 13:01:25,GLXY has zero exposure to Bitfinex or Tether.   My own sense is that they are less integral to the crypto community… https://t.co/AZde66IzdQ
1121640726431813632,2019-04-26 05:02:42,@bytemaster7 But all those countries doing better have socialized medicine??
1121208047337132035,2019-04-25 00:23:24,"@TheMackMan2 @CPyles8 @WillieAtFLO Well, they all got asked.  So you can pretty much figure out who didn’t want to.… https://t.co/vhaAYIzkYN"
1120711045897773057,2019-04-23 15:28:29,Had a great time last year at @Fluidityio Summit discussing the beginning of the institutionalization of crypto as… https://t.co/l0orA8DP3e
1120508397999284224,2019-04-23 02:03:14,@jasonmbryant Let’s take this off line please 😂
1120508113176678401,2019-04-23 02:02:06,@Coinnoisseur @BillMurrayStory Bill seems to have a positive impact wherever he goes.  Watch the movie. I promise you will smile.
1120506787864764418,2019-04-23 01:56:50,@yiannidiako_LGR I love @yiannidiako_LGR.  Thanks for participating.
1120506544083357697,2019-04-23 01:55:52,Everyone please go watch  @BillMurrayStory.  It’s an amazingly sweet movie that will put a smile on your face.  And… https://t.co/jBu9ZMteGm
1120077578029629442,2019-04-21 21:31:19,@realDonaldTrump @WattersWorld @JudgeJeanine @RudyGiuliani What about GOT?
1120031168395665411,2019-04-21 18:26:54,@alliseeisgold Wow.   Big heart.  Well done.
1119925757101391872,2019-04-21 11:28:02,Go see the film ‘Trial by Fire’ made by @edzwick.  It tells this story in great detail.  If you are a fan of Rick P… https://t.co/M1MdoYmDo1
1119923884000673792,2019-04-21 11:20:35,"Given video calls are free for almost all of us, paying $9.90 seems outrageous.   Let’s agree that our criminal jus… https://t.co/Ibs4b05gS3"
1119742985464373252,2019-04-20 23:21:46,@joaquinlife We really need a whole rethink on how we police.
1118723119529775104,2019-04-18 03:49:11,@desmondmeade Go big guy go.   Smiling here in NYC.
1118532240387006466,2019-04-17 15:10:42,I am more and more bullish $btc and our whole space.  I’ll make the case at the @SALTConference and then at @EtherealSummit.
1118341700013969409,2019-04-17 02:33:33,@xlm_usd @Forbes Agreed
1116370218740277248,2019-04-11 15:59:35,https://t.co/Isu0JIBHoU  One of my favorite themes is investing in infrastructure needed for a crypto world. @ciphertrace
1116028640335212546,2019-04-10 17:22:17,@MyLegacyKit @BeattheStreets i guess I've got to educate him...😀
1116019171924619265,2019-04-10 16:44:39,Get your tickets soon.  They are going like hot cakes.  ⁦@BeattheStreets⁩ https://t.co/KzDDOMd5JB
1115204833160642560,2019-04-08 10:48:46,@AaronPicoUSA I deleted my tweet.  Wrestlemania and a few beers had me excited to pump up the @BeattheStreets event… https://t.co/mwmg3mSGgQ
1115070778498850816,2019-04-08 01:56:05,@greentoepalacio Get in line
1115056188390092801,2019-04-08 00:58:06,"I’d have Royce Alger, @JesseJantzen1 ,@kyledake444, Z Galogaev, and @JohnSmithOKST in my corner.   Strong corner.  😋"
1115027063256301568,2019-04-07 23:02:22,@johnnidijulius @BeattheStreets It’s indoor the first time ever.  #newmanagement
1115024376364187648,2019-04-07 22:51:42,@MATrix_8692 @BeattheStreets I love @MATrix_8692
1115003805580525568,2019-04-07 21:29:57,Damn I’d challenge @dillondanis to a takedown for 10k just for sport.  He needs to work his way up the ladder befor… https://t.co/QIOcyiVpMk
1114999559720189955,2019-04-07 21:13:05,@BeattheStreets please send info on how to make crypto donations. https://t.co/CnOxrpKfqX
1114917594581094400,2019-04-07 15:47:23,This is gonna be the best @BeattheStreets ever.  @alliseeisgold and @Benaskren show what all wrestlers should aspir… https://t.co/5yADqHusB8
1114870902708166656,2019-04-07 12:41:51,@NewYorker This is crazy.  Makes me more bullish Compass Pathways and Atai which are working on alternative treatme… https://t.co/JGVObqvl4M
1114314336695140352,2019-04-05 23:50:15,@FloWrestling Cmon  @NoBickal   Take the match.  Give the fans what they want 😋
1114246018936266752,2019-04-05 19:18:47,@FloWrestling Yes.
1113909672313016332,2019-04-04 21:02:15,@shirt4coin @benjaminjwhitby @SatoshiLite That he has no skin in the game says it all.
1113782035192135681,2019-04-04 12:35:04,Alabama needs to focus less on its football team and more at being just and decent Americans.  This is a disgrace.   https://t.co/MNQC9M8grU
1113626720144433152,2019-04-04 02:17:54,Saw ‘To Kill a Mockingbird’ on Broadway.  Jeff Daniels will win the Tony.   Really amazing.  Harper Lee would be pr… https://t.co/iRGp9jqxFp
1113554331528245249,2019-04-03 21:30:16,@JoeBiden Love you Joe   You can hug me.
1113525895820730370,2019-04-03 19:37:16,Gold has an $8.5 trillion dollar market cap. Silver is $15bn That is .17%.  $BTC has a $90bn mkt cap. $ltc is $5.7b… https://t.co/Qj9oMQrR3D
1112341655779188736,2019-03-31 13:11:31,@jonnajarian That’s not a lot 😂
1112340977006641153,2019-03-31 13:08:49,@LuxuryLifeMiami Send me a dm.   We need all the help we can get.
1112098598538436610,2019-03-30 21:05:42,@GeeeeMack @BradyHiatt7 @CPyles8 The system should be fair.  We have awesome wrestlers.  And at many weight classes… https://t.co/YMOg69q9yx
