id,created_at,text
1129220670695411723,2019-05-17 03:02:42,"J/k. Honestly, that's exactly the same as you could have bought one less pizza in 2010 and bought $btc instead. Regret that!"
1128981228407803904,2019-05-16 11:11:14,Cold to cold transfer.  The fund then went to Hot. https://t.co/XytbEGXeP6
1128954594107641856,2019-05-16 09:25:24,RT @LukasBydzovsky: @Cukor_Zeleny @cz_binance @binance If you have ERC-20 BNB then send it to your binance ETH address.
1128945256978714626,2019-05-16 08:48:18,"The address of the new BEP2 $BNB cold wallet is: 
bnb142q467df6jun6rt5u2ar58sp47hm5f9wvz2cvg.

View its contents an… https://t.co/WiF22ttgEf"
1128945255443718144,2019-05-16 08:48:18,".@Binance will convert all the ERC20 $BNB tokens in our hot &amp; cold wallets to native BEP2 tokens. To achieve this,… https://t.co/GgbWEw6cA8"
1128931126725111808,2019-05-16 07:52:09,@JaimeAnton1111 IOST deposits and withdrawals are all normal now.
1128926269725323265,2019-05-16 07:32:51,"Go $CAN, go $BNB. https://t.co/LGprZ4azoh"
1128853832052535296,2019-05-16 02:45:01,"RT @G0JlRA: Pretty crazy to think that @binance lost 7000 BTC to hackers, went through a long phase with withdraw and deposits being down,…"
1128675368414482432,2019-05-15 14:55:52,RT @galaxyBTC: Over 140 different BTC pair markets on Binance and only 1 is in the red. https://t.co/0TxuNnanLV
1128675117230317569,2019-05-15 14:54:52,"RT @rallyqt: Did you hodl or did you let FUD get to you? In 2019, $BNB is over +357.89% https://t.co/9L9Rg2GX3V"
1128675091481370624,2019-05-15 14:54:46,RT @itsSDJ: $BNB kissed it's ATH earlier in the day today. Last hour volume before maintenance were good &amp; when Binance starts trading agai…
1128656846816829440,2019-05-15 13:42:16,RT @cz_binance: @CHalexov2016 @binance I didn't even have time to check #BNB price.  #BUIDL!
1128656781691908102,2019-05-15 13:42:00,@CHalexov2016 @binance I didn't even have time to check #BNB price.  #BUIDL!
1128655695132352513,2019-05-15 13:37:41,"RT @cz_binance: First and foremost, giving $1,200,000 equivalent in $bnb back as a thank you for standing by us, also one level up for all…"
1128645028492955649,2019-05-15 12:55:18,RT @GBinance: So proud to be part of an org that handles crisis the way Binance managed the past 7 days.  BNB at an ATH reflects a market t…
1128638686029967361,2019-05-15 12:30:06,"First and foremost, giving $1,200,000 equivalent in $bnb back as a thank you for standing by us, also one level up… https://t.co/AXNtAp3TFt"
1128519699686277120,2019-05-15 04:37:17,"RT @BinanceResearch: Despite its perceived riskiness, Bitcoin $BTC has provided far higher returns than most traditional assets over the pa…"
1128499406360068096,2019-05-15 03:16:39,"RT @TheCryptoDog: I think $BNB is going to enter price discovery (new all time highs) in the next 24 hours.

#ihaveabag https://t.co/2vDF6c…"
1128464031319089152,2019-05-15 00:56:05,"And it's all Bitcoin's fault, again! https://t.co/SIFRhecmzL"
1128331170893025281,2019-05-14 16:08:09,"RT @whale_alert: ⚠️⚠️⚠️ We have added special warnings for the Binance Hack! If anyone tries to move the stolen #BTC, you'll be the first t…"
1128326030479912960,2019-05-14 15:47:43,"RT @rallyqt: 2019 crypto returns approximation:

1. Binance Coin $BNB: +326.48%
2. Litecoin $LTC: +192.32
3. Bitcoin $BTC: +137.18%

This i…"
1128267432575954944,2019-05-14 11:54:52,"RT @woonomic: In BTC's 10yr trade history, crossing above the 200 day moving average (blue line) for any sizeable time (say 8wks+) has sign…"
1128176866186018817,2019-05-14 05:55:00,"@GryptoTheDog @mhelal2 @binance think positively, whenever we do maintenance, #XRP pumps."
1128171863941632000,2019-05-14 05:35:07,RT @LB_whiteshark: after just one week from the #hacker attack with 7000 #btc stolen @binance reopen.  I did not have a moment of concern.…
1128087442995593217,2019-05-13 23:59:39,"RT @APompliano: Bitcoin just broke $8,000 🔥🚀"
1128087322631663616,2019-05-13 23:59:11,"RT @CryptosBatman: When you experience a hack and loses 7000 $BTC, but you recover all the funds to your users and act transparent througho…"
1127974920233709568,2019-05-13 16:32:32,"RT @TrustWalletApp: We are excited to announce full support for the @OntologyNetwork. Receive, store and send $ONT $ONG from the convenienc…"
1127958192015589376,2019-05-13 15:26:04,"Don't bet against Bitcoin, and don't bet against B..."
1127923638592606208,2019-05-13 13:08:45,"For this swap, we need to move all ERC20 AE token to a new address (0xee62CBAb44113b3d72Cdc94980953C0B1a4F4d47), fr… https://t.co/zibXi4TpaW"
