id,created_at,text
1128980484657156099,2019-05-16 11:08:17,Pleased to report that @Ripple is one of @Inc Magazine's Best Workplaces of 2019! This is thanks to the amazing… https://t.co/rbxvCKg31n
1091091040293945344,2019-01-31 21:49:10,"Welcome to Team Ripple, Stu! So glad to have such an esteemed financial and legal expert on this wild journey with… https://t.co/OKN6NidpHi"
1085925290759471104,2019-01-17 15:42:19,"RT @Ripple: Real people, real businesses seeing real-world benefits from our technology! https://t.co/yM221qy3qf"
1082668706419769344,2019-01-08 16:01:49,"RT @Kr00ney: Ripple is looking to shake up a $2T global payment biz that hasn't changed much in 45 years. At the same time, it's constantly…"
1075933474903646208,2018-12-21 01:58:24,"Could not be more proud of the @Ripple team! With focus, determination, and an amazing group of partners and custom… https://t.co/ErdIrfDSAx"
1072993032125870081,2018-12-12 23:14:08,"RT @Ripple: Our final AMA of 2018 featuring @bgarlinghouse and @MonicaLongSF is next week, 12/18 at 10:30am PST. Mark your calendars and sh…"
1070385137039228929,2018-12-05 18:31:18,"I've long said that blockchain experiments are not a business model. That's why from day one @Ripple, we found the… https://t.co/xqMPKE5sil"
1065490141479763969,2018-11-22 06:20:20,Being a great place to work starts with the people. #thankful for the outstanding team @Ripple for bringing the pas… https://t.co/O0IvzZ7TfS
1057340626004373504,2018-10-30 18:37:04,RT @Ripple: It’s faster to get on a plane and fly money across borders than it is to send it as a digital payment. @Ripple is changing that…
1046918549426462720,2018-10-02 00:23:27,"Truly a record year here at @Ripple - our network reaches across 40 countries and six continents, and now today we… https://t.co/jUDjhXs8uU"
1045395270987653120,2018-09-27 19:30:29,"RT @chrislarsensf: The #InternetofValue is not about disruption, it's about completion - making globalization better for everyone. Ripple f…"
1037731187039514624,2018-09-06 15:56:09,I’m incredibly proud of the team here @Ripple - we’re lucky to have the best and brightest working tirelessly to ma… https://t.co/DGNwBUnBTQ
1032318590458818560,2018-08-22 17:28:26,.@joelkatz speaks the TRUTH on XRP Ledger! Brilliantly designed to be inherently decentralized. More on this during… https://t.co/drJBQc7pw8
1017047230048493571,2018-07-11 14:05:30,David and Kahina both have proven track records of success that will be instrumental in forging @Ripple’s path ahea… https://t.co/0c3rx4BM2R
1003571443999764480,2018-06-04 09:37:32,"RT @Ripple: Change of plans: #Ripple CEO @bgarlinghouse takes the Ringside stage at 1:05pm CEST to talk #blockchain, digital assets and rei…"
996487821157335040,2018-05-15 20:29:45,".@Ripple has been on the frontlines of deploying #blockchain to solve real customer problems.  Not hype, just resul… https://t.co/yYq0X99rfd"
996024436968120321,2018-05-14 13:48:25,"RT @Ripple: Excited to announce Xpring, a new initiative that supports businesses growing on the XRP Ledger, and initial investments in @SB…"
996013781149999106,2018-05-14 13:06:05,"RT @justmoon: Excited to launch @Coil_, a new startup building #micropayment applications on #XRP and @Interledger. We're creating a new bu…"
994571445857542144,2018-05-10 13:34:45,"@twobitidiot Ryan, you demonstrate in this comment how little you understand about xRapid and Ripple's products.  I… https://t.co/gMY3k2u8xN"
984539182079983616,2018-04-12 21:10:07,Proud to support @bancosantander’s cross-border payments with @Ripple’s #xCurrent solution https://t.co/srOXwqsHNy
